name,amount,category,due_day
Aspen estate mortgage,18500.00,Housing,1
Household staff,6400.00,Other,1
Tribeca loft mortgage,12800.00,Housing,1
Private chef,7200.00,Groceries,3
Aston Martin lease,3900.00,Auto,8
Yacht moorage,4850.00,Transportation,10
Umbrella insurance,2150.00,Insurance,12
Jet card,5600.00,Transportation,15
Estate utilities,2400.00,Utilities,18
Country club dues,1850.00,Other,20
Concierge medicine,1200.00,Healthcare,22
Streaming & press,180.00,Subscriptions,22
Wine cellar account,950.00,Groceries,25
Art storage vault,1400.00,Other,28
